Date,Temperature,Humidity,Pressure,WindSpeed,Rainfall,Weather
2025-01-01,28.5,72,1009.8,15.0,15.1,Rainy
2025-01-02,24.0,87,1013.2,8.1,8.5,Cloudy
2025-01-03,29.5,40,1014.0,22.2,8.8,Sunny
2025-01-04,35.7,92,1010.1,20.3,10.8,Rainy
2025-01-05,23.4,78,1011.1,17.1,10.1,Rainy
2025-01-06,23.4,79,1009.3,21.6,6.2,Cloudy
2025-01-07,36.1,66,1008.0,21.9,4.8,Sunny
2025-01-08,30.4,79,1009.9,18.3,3.5,Cloudy
2025-01-09,21.7,81,1009.7,21.3,0.0,Cloudy
2025-01-10,28.8,55,1006.4,18.0,1.8,Sunny
2025-01-11,21.8,50,1008.6,17.6,0.0,Sunny
2025-01-12,21.7,88,993.0,16.2,3.2,Cloudy
2025-01-13,26.7,55,1018.5,19.3,0.0,Sunny
2025-01-14,11.6,45,1016.1,5.6,0.0,Sunny
2025-01-15,12.9,94,1012.3,22.3,5.4,Cloudy
2025-01-16,21.1,71,1014.9,22.1,15.1,Rainy
2025-01-17,17.9,70,1015.2,2.7,11.3,Sunny
2025-01-18,27.2,69,1007.2,21.0,0.0,Sunny
2025-01-19,18.6,53,1008.7,5.0,0.0,Sunny
2025-01-20,15.1,54,1017.2,9.7,11.5,Sunny
2025-01-21,35.3,91,1014.7,19.1,0.0,Cloudy
2025-01-22,23.4,52,1029.3,5.7,2.2,Sunny
2025-01-23,25.5,81,1026.0,20.8,8.4,Cloudy
2025-01-24,15.0,75,1020.5,21.1,0.0,Sunny
2025-01-25,21.2,83,1006.9,13.7,4.8,Cloudy
2025-01-26,25.8,48,1008.5,2.1,0.0,Sunny
2025-01-27,16.9,49,1005.0,8.6,0.0,Sunny
2025-01-28,27.6,65,1015.2,16.2,6.6,Sunny
2025-01-29,20.8,35,991.1,24.6,0.0,Sunny
2025-01-30,23.0,87,1009.3,16.5,7.5,Cloudy
2025-01-31,20.8,88,1010.5,8.0,3.8,Cloudy
2025-02-01,38.0,88,1000.8,16.6,8.4,Cloudy
2025-02-02,24.9,37,1019.4,14.4,5.8,Sunny
2025-02-03,17.6,50,1003.9,19.9,14.9,Sunny
2025-02-04,30.8,57,1015.1,4.5,5.0,Sunny
2025-02-05,16.5,91,1035.3,19.5,0.6,Cloudy
